drug_name,drug_id,disease_name,disease_id
cefuroxime,CHEBI:3515,gonorrhea,MONDO:0004277
pravastatin,CHEBI:63618,"hyperlipidemia, familial combined, LPL related",MONDO:0007759
ciprofloxacin,CHEBI:100241,shigellosis,MONDO:0019345
lumiracoxib,CHEBI:73044,osteoarthritis,MONDO:0005178
metronidazole,CHEBI:6909,trichomoniasis,MONDO:0002154
favipiravir,CHEBI:134722,Influenza caused by pandemic influenza virus,UMLS:C4304383
calcium citrate,PUBCHEM.COMPOUND:13136,Hypocalcemia,HP:0002901
allopurinol,CHEBI:40279,Calcium renal calculus,UMLS:C1959799
aceclofenac,CHEBI:31159,frozen shoulder,MONDO:0006763
rosuvastatin,CHEBI:38545,homozygous familial hypercholesterolemia,MONDO:0018328
dehydrocholic acid,CHEBI:31459,biliary tract disorder,MONDO:0004868
prednisolone,CHEBI:8378,idiopathic acute eosinophilic pneumonia,MONDO:0019122
dronedarone,CHEBI:50659,atrial fibrillation,MONDO:0004981
tetracycline,CHEBI:27902,syphilis,MONDO:0005976
gatifloxacin,CHEBI:5280,Klebsiella cystitis,UMLS:C0520775
cefuroxime,CHEBI:3515,streptococcal meningitis,MONDO:0001316
norgestimate,CHEBI:50815,postmenopausal atrophic vaginitis,MONDO:0001410
chlophedianol,CHEBI:135207,Nasal congestion,HP:0001742
clavulanic acid,CHEBI:48947,Escherichia coli septicemia,UMLS:C0276088
diazepam,CHEBI:49575,epilepsy,MONDO:0005027
ceftizoxime,CHEBI:553473,escherichia coli infection,MONDO:0020920
permethrin,CHEBI:34911,Pediculus humanus corporis infestation,MONDO:0003482
daptomycin,CHEBI:600103,Bacteremia caused by Staphylococcus aureus,UMLS:C1142423
prednisolone,CHEBI:8378,follicular lymphoma,MONDO:0018906
streptomycin,CHEBI:17076,Acute tuberculosis,UMLS:C0275959
cefotaxime,CHEBI:94427,Bacterial infection caused by Klebsiella pneumoniae,UMLS:C0343402
sorafenib,CHEBI:50924,renal cell carcinoma,MONDO:0005086
aspirin,CHEBI:15365,Arthralgia,HP:0002829
cinnarizine,CHEBI:31403,central nervous system origin vertigo,MONDO:0002317
cefoxitin,CHEBI:209807,Sepsis caused by Bacteroides,UMLS:C0276064
thalidomide,CHEBI:74947,POEMS syndrome,MONDO:0017364
azithromycin,CHEBI:2955,staphylococcus aureus infection,MONDO:0005545
prilocaine,CHEBI:8404,premature ejaculation,MONDO:0001780
nicotinamide,CHEBI:17154,pellagra,MONDO:0019975
antazoline,CHEBI:84115,atopic conjunctivitis,MONDO:0005642
oxytetracycline,CHEBI:133011,stomatitis,MONDO:0004842
letrozole,CHEBI:6413,Unexplained infertility,UMLS:C0404585
meropenem,CHEBI:43968,bacterial meningitis,MONDO:0006670
bempedoic acid,CHEBI:149601,Atherosclerotic occlusive disease,UMLS:C0543822
sotagliflozin,CHEBI:229226,type 2 diabetes mellitus,MONDO:0005148
beclometasone,CHEBI:3001,vasomotor rhinitis,MONDO:0006004
ofloxacin,CHEBI:194135,Acute osteomyelitis,UMLS:C0158371
meropenem,CHEBI:43968,streptococcal meningitis,MONDO:0001316
norfloxacin,CHEBI:100246,Acute osteomyelitis,UMLS:C0158371
sulbactam,CHEBI:9321,Pneumonia caused by Acinetobacter,UMLS:C2063075
neomycin,CHEBI:7507,blepharoconjunctivitis,MONDO:0002307
cefamandole,CHEBI:3480,Escherichia coli septicemia,UMLS:C0276088
imipenem,CHEBI:471744,arthropathy,MONDO:0006816
betamethasone,CHEBI:3077,inflammatory bowel disease,MONDO:0005265
gliclazide,CHEBI:31654,type 2 diabetes mellitus,MONDO:0005148
warfarin,CHEBI:10033,intracranial embolism,MONDO:0006809
