,drug_name,drug_id,disease_name,disease_id
0,ceftibuten,CHEBI:3510,Haemophilus influenzae otitis media,UMLS:C0276027
1,caffeine,CHEBI:27732,Spasticity,HP:0001257
2,5-fluorouracil,CHEBI:46345,malignant colon neoplasm,MONDO:0021063
3,tazarotene,CHEBI:32184,psoriasis,MONDO:0005083
4,cefaclor,CHEBI:3478,Acute Moraxella catarrhalis bronchitis,UMLS:C0339932
5,primidone,CHEBI:8412,Lennox-Gastaut syndrome,MONDO:0016532
6,sulfamethoxazole,CHEBI:9332,Infective otitis media,UMLS:C0729586
7,pramocaine,CHEBI:8357,Skin Irritation,NCIT:C50743
8,cefotetan,PUBCHEM.COMPOUND:53024,Peptostreptococcus infectious disease,MONDO:0024412
9,tizanidine,CHEBI:63629,Spasticity,HP:0001257
10,ceftaroline fosamil,CHEBI:70718,staphylococcus aureus pneumonia,MONDO:0041879
11,codeine,CHEBI:16714,rhinitis,MONDO:0003014
12,binimetinib,CHEBI:145371,metastatic melanoma,MONDO:0005191
13,trimethoprim,CHEBI:45924,Bacterial urinary infection,UMLS:C0729524
14,tibolone,CHEBI:32223,postmenopausal osteoporosis,MONDO:0008159
15,chloroquine,CHEBI:3638,Plasmodium falciparum malaria,MONDO:0005920
16,amcinonide,CHEBI:31199,granuloma annulare,MONDO:0006554
17,clavulanic acid,CHEBI:48947,Bacterial urinary infection,UMLS:C0729524
18,olaparib,CHEBI:83766,castration-resistant prostate carcinoma,MONDO:0850353
19,cortisol,CHEBI:5783,pemphigus,MONDO:0006594
20,ritonavir,CHEBI:45409,HIV infectious disease,MONDO:0005109
21,amphotericin B,CHEBI:2682,aspergillosis,MONDO:0005657
22,ticarcillin,CHEBI:9587,bacterial pneumonia,MONDO:0004652
23,acetylcysteine,CHEBI:28939,bronchitis,MONDO:0003781
24,minocycline,CHEBI:50694,Rocky mountain spotted fever,MONDO:0019359
25,flumethasone pivalate,CHEBI:31620,Lichen Simplex Chronicus,UMLS:C0149922
26,bacampicillin,CHEBI:2968,Haemophilus influenzae pneumonia,UMLS:C0276026
27,orphenadrine,CHEBI:7789,parkinsonian disorder,MONDO:0021095
28,betamethasone,CHEBI:3077,Post traumatic osteoarthritis,UMLS:C2894027
29,sulfacetamide,CHEBI:63845,uveitis,MONDO:0020283
30,prednisone,CHEBI:8382,epicondylitis,MONDO:0001875
31,benzatropine,CHEBI:3048,parkinsonian disorder,MONDO:0021095
32,gepirone,CHEBI:135990,major depressive disorder,MONDO:0002009
33,ofloxacin,CHEBI:194135,typhoid fever,MONDO:0005619
34,oxedrine,CHEBI:29081,Rhinorrhea,HP:0031417
35,oxaprozin,CHEBI:7822,rheumatoid arthritis,MONDO:0008383
36,naloxone,CHEBI:7459,Opiate Overdose,UMLS:C0579142
37,lithium carbonate,PUBCHEM.COMPOUND:11125,bipolar disorder,MONDO:0004985
38,cefotetan,PUBCHEM.COMPOUND:53024,bacterial pneumonia,MONDO:0004652
39,flumethasone pivalate,CHEBI:31620,Pruritus Ani,UMLS:C0033775
40,cefoxitin,CHEBI:209807,streptococcal pneumonia,MONDO:0005972
41,paramethadione,CHEBI:7921,absence epilepsy,MONDO:0850093
42,lumefantrine,CHEBI:156095,Plasmodium falciparum malaria,MONDO:0005920
43,fluoxymesterone,CHEBI:5120,Thomsen and Becker disease,MONDO:0009710
44,ticarcillin,CHEBI:9587,Pneumonia caused by Escherichia coli,UMLS:C0276089
