drug_name,drug_id,disease_name,disease_id
eribulin,CHEBI:63587,liposarcoma,MONDO:0005060
benzbromarone,CHEBI:3023,Hyperuricemia,HP:0002149
azathioprine,CHEBI:2948,Crohn disease,MONDO:0005011
cortisol,CHEBI:5783,Transplanted organ rejection,UMLS:C0345468
penicillamine,CHEBI:7959,cystinuria,MONDO:0009067
clonidine,CHEBI:3757,hypertensive disorder,MONDO:0005044
doxycycline,PUBCHEM.COMPOUND:54671203,yaws,MONDO:0006019
(-)-adrenaline,CHEBI:28918,Dyspnea,HP:0002094
phenytoin,CHEBI:8107,primary motor cortex epilepsy,MONDO:0041284
clomipramine,CHEBI:47780,obsessive-compulsive disorder,MONDO:0008114
fomepizole,CHEBI:5141,Accidental poisoning by methyl alcohol,UMLS:C0261439
ciprofloxacin,CHEBI:100241,Recurrent lower respiratory tract infections,HP:0002783
piperacillin,CHEBI:8232,peritonitis,MONDO:0004522
irinotecan,CHEBI:80630,pancreatic adenocarcinoma,MONDO:0006047
radium Ra 223 dichloride,CHEBI:33325,prostate cancer,MONDO:0008315
"1,25-dihydroxyvitamin D3",CHEBI:17823,hypoparathyroidism,MONDO:0001220
ivosidenib,CHEBI:145430,cholangiocarcinoma,MONDO:0019087
pethidine,CHEBI:6754,Severe pain,UMLS:C0278140
norfloxacin,CHEBI:100246,malignant otitis externa caused by Pseudomonas aeruginosa,MONDO:0041095
acetylcysteine,CHEBI:28939,bronchitis,MONDO:0003781
pantoprazole,CHEBI:7915,Erosive esophagitis,UMLS:C0267055
cyclizine,CHEBI:3994,allergic rhinitis,MONDO:0011786
cefoxitin,CHEBI:209807,gonorrhea,MONDO:0004277
cortisol,CHEBI:5783,dermatitis herpetiformis,MONDO:0015614
piperacillin,CHEBI:8232,Proteus urinary tract infection,UMLS:C0577709
cefotetan,PUBCHEM.COMPOUND:53024,Abdominal Infection,UMLS:C1112209
nafcillin,CHEBI:7447,staphylococcal infection,MONDO:0024313
tetracycline,CHEBI:27902,actinomycosis,MONDO:0005631
pseudoephedrine,CHEBI:51209,Flu-Like Symptoms,NCIT:C78302
bleomycin,CHEBI:3139,head and neck cancer,MONDO:0005627
alclometasone dipropionate,CHEBI:31184,granuloma annulare,MONDO:0006554
norethisterone,CHEBI:7627,Hot flashes,HP:0031217
hydroxyzine,CHEBI:5818,"dermatitis, atopic",MONDO:0011292
eperisone,CHEBI:77069,Hyperkinetic movements,HP:0002487
meropenem,CHEBI:43968,Abdominal Infection,UMLS:C1112209
cefalotin,CHEBI:124991,Female genital tract infection,UMLS:C1263758
cefpodoxime,CHEBI:3504,Gonorrhea of rectum,UMLS:C0275665
cyclophosphamide,CHEBI:4027,classic Hodgkin lymphoma,MONDO:0009348
doxycycline,PUBCHEM.COMPOUND:54671203,urethritis,MONDO:0005297
norfloxacin,CHEBI:100246,bacterial pneumonia,MONDO:0004652
amoxicillin,CHEBI:2676,Klebsiella cystitis,UMLS:C0520775
sulfogaiacol,CHEBI:85537,Cough,HP:0012735
levodopa,CHEBI:15765,parkinsonian disorder,MONDO:0021095
cefepime,CHEBI:478164,Abdominal Infection,UMLS:C1112209
methylprednisolone,CHEBI:6888,mycosis fungoides,MONDO:0009691
cefoxitin,CHEBI:209807,Female pelvic cellulitis,UMLS:C0349734
cefotaxime,CHEBI:94427,ophthalmia neonatorum,MONDO:0004854
